Familia,Nombre científico,Imágenes en Google
Anacardiaceae,Anacardium excelsum,"<a href=""https://www.google.com/search?tbm=isch&q=Anacardium+excelsum"">Anacardium excelsum - Google</a>"
Anacardiaceae,Anacardium occidentale,"<a href=""https://www.google.com/search?tbm=isch&q=Anacardium+occidentale"">Anacardium occidentale - Google</a>"
Anacardiaceae,Astronium graveolens,"<a href=""https://www.google.com/search?tbm=isch&q=Astronium graveolens"">Astronium graveolens - Google</a>"
Anacardiaceae,Mangifera indica,
Anacardiaceae,Mauria heterophylla,
Anacardiaceae,Spondias mombin ,
Anacardiaceae,Tapirira guianensis,
Anacardiaceae,Tapirira mexicana,
Annonaceae,Annona cherimola,
Annonaceae,Annona mucosa,
Annonaceae,Annona muricata,
Annonaceae,Annona papilionella,
Annonaceae,Annona purpurea,
Annonaceae,Annona rensoniana,
Annonaceae,Guatteria amplifolia,
Annonaceae,Guatteria chiriquiensis,
Annonaceae,Guatteria dolichopoda,
Annonaceae,Guatteria oliviformis,
Annonaceae,Guatteria ucayalina,
Annonaceae,Xylopia aromatica,
Annonaceae,Xylopia frutescens,
Annonaceae,Xylopia sericea,
Annonaceae,Xylopia sericophylla,
Apocynaceae,Apidosperma crypticum,
Apocynaceae,Aspidosperma cruentum,
Apocynaceae,Aspidosperma megalocarpon,
Apocynaceae,Aspidosperma myristicifolium,
Apocynaceae,Plumeria rubra,
Apocynaceae,Tabernaemontana donnell-smithii,
Apocynaceae,Tabernaemontana litoralis,
Apocynaceae,Tonduzia stenophylla,
Araliaceae,Aralia excelsa,
Araliaceae,Dendropanax arboreus,
Araliaceae,Oreopanax nicaraguensis,
Araliaceae,Oreopanat xalapensis,
Araliaceae,Schefflera morototoni,
Araliaceae,Schefflera rodriguesiana,
Arecaceae,Acrocomia aculeata,
Arecaceae,Attalea butyracea,
Arecaceae,Bactris guineensis,
Arecaceae,Bactris major,
Arecaceae,Chamaedorea costaricana,
Arecaceae,Chamaedorea tepejilote,
Arecaceae,Elaeis oleifera,
Arecaceae,Euterpe precatoria,
Arecaceae,Iriartea deltoidea,
Arecaceae,Socratea exorrhiza,
Arecaceae,Welfia regia ,
Asparagaceae,Yucca guatemalensis,
Asteraceae,Critoniopsis triflosculosa,
Asteraceae,Dahlia imperialis ,
Asteraceae,Lasianthaea fruticosa,
Asteraceae,Montanoa guatemalensis,
Asteraceae,Piptocoma discolor,
Asteraceae,Vernonanthura patens,
Betulaceae,Alnus acuminata,
Bignoniaceae,Crescentia alata,
Bignoniaceae,Crescentia cujete,
Bignoniaceae,Godmania aesculifolia,
Bignoniaceae,Handroanthus chrysanthus,
Bignoniaceae,Handroanthus guayacan,
Bignoniaceae,Handroanthus ochraceous,
Bignoniaceae,Jacaranda caucana,
Bignoniaceae,Jacaranda copaia,
Bignoniaceae,Jacaranda mimosifolia,
Bignoniaceae,Spathodea campanulata,
